EDICAO;TEMPORADA;METODO;fbest;favg;delta_pct;omega_s
masculina;21-22;ILS+SA;81592;84550;3.6;182
masculina;21-22;GA+RVND;78706;81113;3.1;127
masculina;21-22;GA+QVND;79226;81118;2.4;92
masculina;21-22;GA+RVND+Min;78996;81461;3.1;105
masculina;21-22;GA+QVND+Min;79895;81642;2.2;72
masculina;22-23;ILS+SA;137866;139943;1.5;95
masculina;22-23;GA+RVND;133092;135904;2.1;103
masculina;22-23;GA+QVND;135220;136212;0.7;91
masculina;22-23;GA+RVND+Min;133378;136190;2.1;145
masculina;22-23;GA+QVND+Min;133774;136619;2.1;52
masculina;23-24;ILS+SA;89293;92050;3.1;122
masculina;23-24;GA+RVND;83469;86212;3.3;100
masculina;23-24;GA+QVND;84341;87780;4.1;148
masculina;23-24;GA+RVND+Min;84318;86000;2.0;114
masculina;23-24;GA+QVND+Min;82531;87052;5.5;114
masculina;24-25;ILS+SA;77591;81392;4.9;140
masculina;24-25;GA+RVND;72998;74940;2.7;113
masculina;24-25;GA+QVND;72371;74400;2.8;126
masculina;24-25;GA+RVND+Min;72351;74344;2.8;78
masculina;24-25;GA+QVND+Min;73029;75690;3.6;68
feminina;21-22;ILS+SA;77497;80602;4.0;185
feminina;21-22;GA+RVND;72568;75196;3.6;112
feminina;21-22;GA+QVND;73577;74859;1.7;132
feminina;21-22;GA+RVND+Min;72919;75613;3.7;144
feminina;21-22;GA+QVND+Min;73474;74173;1.0;115
feminina;22-23;ILS+SA;79195;81929;3.5;129
feminina;22-23;GA+RVND;76745;77264;0.7;64
feminina;22-23;GA+QVND;76745;77635;1.2;114
feminina;22-23;GA+RVND+Min;76745;77170;0.6;87
feminina;22-23;GA+QVND+Min;76745;77823;1.4;71
feminina;23-24;ILS+SA;83078;85410;2.8;117
feminina;23-24;GA+RVND;76290;78024;2.3;130
feminina;23-24;GA+QVND;76900;78596;2.2;88
feminina;23-24;GA+RVND+Min;76479;79291;3.7;92
feminina;23-24;GA+QVND+Min;77862;81016;4.1;50
feminina;24-25;ILS+SA;91014;94263;3.6;180
feminina;24-25;GA+RVND;85476;87916;2.9;119
feminina;24-25;GA+QVND;85137;87400;2.7;80
feminina;24-25;GA+RVND+Min;86635;88891;2.6;94
feminina;24-25;GA+QVND+Min;86226;88865;3.1;93
